run,repetition,combo_idx,seed,p_depol,cutoff_active,n_mem,delivered_AC,delivered_BD,delivered_total,meanF_AC,meanF_BD,meanF_total,attempts
125.0,16.0,5.0,16.0,0.1,0.0,5.0,228.0,212.0,440.0,0.654943777901845,0.6575588377740432,0.6562513078379442,1.0
126.0,16.0,6.0,16.0,0.1,1.0,5.0,61.0,58.0,119.0,0.7516411206710203,0.7578174871764122,0.7547293039237162,1.0
127.0,16.0,7.0,16.0,0.02,0.0,10.0,215.0,225.0,440.0,0.693161151411182,0.7060860820425535,0.6996236167268677,1.0
128.0,16.0,8.0,16.0,0.02,0.0,20.0,215.0,225.0,440.0,0.6283390688821121,0.6312929461315507,0.6298160075068314,1.0
129.0,17.0,1.0,17.0,0.02,0.0,5.0,230.0,243.0,473.0,0.7832304662846532,0.7809656481713354,0.7820980572279943,1.0
130.0,17.0,2.0,17.0,0.02,1.0,5.0,60.0,53.0,113.0,0.8995696175656566,0.9057909036370029,0.9026802606013298,1.0
131.0,17.0,3.0,17.0,0.05,0.0,5.0,242.0,231.0,473.0,0.7303124035875671,0.7312441432215367,0.7307782734045519,1.0
132.0,17.0,4.0,17.0,0.05,1.0,5.0,44.0,47.0,91.0,0.8445448870465865,0.8442357508524722,0.8443903189495293,1.0
133.0,17.0,5.0,17.0,0.1,0.0,5.0,236.0,237.0,473.0,0.6565934010284341,0.6623538551085482,0.6594736280684912,1.0
134.0,17.0,6.0,17.0,0.1,1.0,5.0,60.0,59.0,119.0,0.7545386331510869,0.7548099561958436,0.7546742946734653,1.0
135.0,17.0,7.0,17.0,0.02,0.0,10.0,230.0,243.0,473.0,0.7038468212658231,0.7220308619710768,0.7129388416184499,1.0
136.0,17.0,8.0,17.0,0.02,0.0,20.0,230.0,243.0,473.0,0.6528676039696916,0.6375942515413757,0.6452309277555337,1.0
137.0,18.0,1.0,18.0,0.02,0.0,5.0,262.0,255.0,517.0,0.791754916076806,0.7897742372303493,0.7907645766535777,1.0
138.0,18.0,2.0,18.0,0.02,1.0,5.0,44.0,49.0,93.0,0.9024372486685799,0.9134125997587415,0.9079249242136607,1.0
139.0,18.0,3.0,18.0,0.05,0.0,5.0,249.0,249.0,498.0,0.7402895994874565,0.7403816192187925,0.7403356093531246,1.0
140.0,18.0,4.0,18.0,0.05,1.0,5.0,60.0,53.0,113.0,0.8395343010996028,0.8403049323629984,0.8399196167313006,1.0
141.0,18.0,5.0,18.0,0.1,0.0,5.0,275.0,241.0,516.0,0.6693772948085749,0.6611730491389245,0.6652751719737497,1.0
142.0,18.0,6.0,18.0,0.1,1.0,5.0,48.0,38.0,86.0,0.7552321594318606,0.7553482268895589,0.7552901931607098,1.0
143.0,18.0,7.0,18.0,0.02,0.0,10.0,261.0,256.0,517.0,0.714574349359576,0.7210373285673146,0.7178058389634453,1.0
144.0,18.0,8.0,18.0,0.02,0.0,20.0,238.0,278.0,516.0,0.6411971093162311,0.6527076641049188,0.6469523867105749,1.0
145.0,19.0,1.0,19.0,0.02,0.0,5.0,222.0,251.0,473.0,0.787781330525205,0.7826729351047904,0.7852271328149978,1.0
146.0,19.0,2.0,19.0,0.02,1.0,5.0,68.0,77.0,145.0,0.9012498877122452,0.8943531850253306,0.8978015363687879,1.0
147.0,19.0,3.0,19.0,0.05,0.0,5.0,223.0,249.0,472.0,0.7305143484144668,0.742090330962345,0.7363023396884059,1.0
148.0,19.0,4.0,19.0,0.05,1.0,5.0,43.0,51.0,94.0,0.8372557298016108,0.8449488612982867,0.8411022955499488,1.0
149.0,19.0,5.0,19.0,0.1,0.0,5.0,219.0,253.0,472.0,0.6647154256966372,0.6643561337569398,0.6645357797267886,1.0
150.0,19.0,6.0,19.0,0.1,1.0,5.0,43.0,52.0,95.0,0.762344155492395,0.7518821310942927,0.7571131432933438,1.0
151.0,19.0,7.0,19.0,0.02,0.0,10.0,223.0,250.0,473.0,0.7072922897086477,0.7145261794839523,0.7109092345963,1.0
152.0,19.0,8.0,19.0,0.02,0.0,20.0,222.0,251.0,473.0,0.6395090613025166,0.6449049514348074,0.642207006368662,1.0
153.0,20.0,1.0,20.0,0.02,0.0,5.0,230.0,264.0,494.0,0.7796226204444602,0.7853406737786336,0.7824816471115469,1.0
154.0,20.0,2.0,20.0,0.02,1.0,5.0,60.0,51.0,111.0,0.9023429379377105,0.8941798832200142,0.8982614105788623,2.0
155.0,20.0,3.0,20.0,0.05,0.0,5.0,254.0,241.0,495.0,0.7390112637660483,0.731843153030394,0.7354272083982212,1.0
156.0,20.0,4.0,20.0,0.05,1.0,5.0,67.0,69.0,136.0,0.8504996445818191,0.8397756812265482,0.8451376629041837,1.0
157.0,20.0,5.0,20.0,0.1,0.0,5.0,258.0,236.0,494.0,0.660655173150724,0.6685113199385436,0.6645832465446337,1.0
158.0,20.0,6.0,20.0,0.1,1.0,5.0,58.0,61.0,119.0,0.7495542023873474,0.7545871322090699,0.7520706672982087,1.0
